,datetime,LAKE_SACAJAWEA_FOREBAY_AT_ICE_HARBOR_DAM__WA.
830,2013-06-17,389.6
831,2013-06-18,393.3
832,2013-06-19,392.8
833,2013-06-20,385.2
834,2013-06-21,378.20000000000005
835,2013-06-22,380.2
836,2013-06-23,386.59999999999997
837,2013-06-24,388.4
838,2013-06-25,386.90000000000003
839,2013-06-26,384.8
840,2013-06-27,382.09999999999997
841,2013-06-28,384.59999999999997
842,2013-06-29,390.9
843,2013-06-30,395.3
844,2013-07-01,400.09999999999997
845,2013-07-02,402.3
846,2013-07-03,401.7
847,2013-07-04,404.1
848,2013-07-05,403.20000000000005
849,2013-07-06,402.40000000000003
850,2013-07-07,399.5
851,2013-07-08,397.4
852,2013-07-09,398.8
853,2013-07-10,401.6
854,2013-07-11,400.3
855,2013-07-12,401.7
856,2013-07-13,399.09999999999997
857,2013-07-14,396.2
858,2013-07-15,395.7
859,2013-07-16,397.2
860,2013-07-17,396.8
861,2013-07-18,394.3
862,2013-07-19,394.70000000000005
863,2013-07-20,397.3
864,2013-07-21,398.4
865,2013-07-22,399.40000000000003
866,2013-07-23,401.3
867,2013-07-24,400.3
868,2013-07-25,399.1
869,2013-07-26,399.2
870,2013-07-27,399.3
871,2013-07-28,400.2
872,2013-07-29,401.1
873,2013-07-30,399.8
874,2013-07-31,398.8
875,2013-08-01,395.2
876,2013-08-02,392.3
877,2013-08-03,390.09999999999997
878,2013-08-04,388.6
879,2013-08-05,387.0
880,2013-08-06,388.09999999999997
881,2013-08-07,391.6
882,2013-08-08,394.09999999999997
883,2013-08-09,396.2
884,2013-08-10,395.9
885,2013-08-11,396.9
886,2013-08-12,394.9
887,2013-08-13,395.9
888,2013-08-14,394.7
889,2013-08-15,392.7
890,2013-08-16,391.6
891,2013-08-17,391.5
892,2013-08-18,392.6
893,2013-08-19,391.40000000000003
894,2013-08-20,390.8
895,2013-08-21,390.5
896,2013-08-22,390.6
897,2013-08-23,390.3
898,2013-08-24,390.4
899,2013-08-25,391.3
900,2013-08-26,391.4
901,2013-08-27,391.8
902,2013-08-28,389.6
903,2013-08-29,386.2
904,2013-08-30,381.0
905,2013-08-31,380.4
906,2013-09-01,383.6
907,2013-09-02,386.6
908,2013-09-03,387.7
909,2013-09-04,385.7
910,2013-09-05,384.70000000000005
911,2013-09-06,383.8
912,2013-09-07,383.9
913,2013-09-08,380.7
