,datetime,DIAMOND_LAKE_NEAR_DIAMOND_LAKE__OR.
895,2013-06-14,5183.91
896,2013-06-15,5183.89
897,2013-06-16,5183.93
898,2013-06-17,5183.88
899,2013-06-18,5183.86
900,2013-06-19,5183.88
901,2013-06-20,5183.87
902,2013-06-21,5183.87
903,2013-06-22,5183.86
904,2013-06-23,5183.89
905,2013-06-24,5183.94
906,2013-06-25,5183.94
907,2013-06-26,5183.97
908,2013-06-27,5183.93
909,2013-06-28,5183.91
910,2013-06-29,5183.9
911,2013-06-30,5183.89
912,2013-07-01,5183.89
913,2013-07-02,5183.89
914,2013-07-03,5183.88
915,2013-07-04,5183.87
916,2013-07-05,5183.85
917,2013-07-06,5183.82
918,2013-07-07,5183.83
919,2013-07-08,5183.82
920,2013-07-09,5183.81
921,2013-07-10,5183.8
922,2013-07-11,5183.8
923,2013-07-12,5183.77
924,2013-07-13,5183.77
925,2013-07-14,5183.76
926,2013-07-15,5183.75
927,2013-07-16,5183.75
928,2013-07-17,5183.73
929,2013-07-18,5183.72
930,2013-07-19,5183.73
931,2013-07-20,5183.72
932,2013-07-21,5183.72
933,2013-07-22,5183.71
934,2013-07-23,5183.71
935,2013-07-24,5183.71
936,2013-07-25,5183.7
937,2013-07-26,5183.7
938,2013-07-27,5183.68
939,2013-07-28,5183.67
940,2013-07-29,5183.67
941,2013-07-30,5183.67
942,2013-07-31,5183.66
943,2013-08-01,5183.65
944,2013-08-02,5183.65
945,2013-08-03,5183.66
946,2013-08-04,5183.66
947,2013-08-05,5183.66
948,2013-08-06,5183.67
949,2013-08-07,5183.66
950,2013-08-08,5183.65
951,2013-08-09,5183.66
952,2013-08-10,5183.68
953,2013-08-11,5183.68
954,2013-08-12,5183.69
955,2013-08-13,5183.69
956,2013-08-14,5183.69
957,2013-08-15,5183.68
958,2013-08-16,5183.68
959,2013-08-17,5183.73
960,2013-08-18,5183.68
961,2013-08-19,5183.67
962,2013-08-20,5183.67
963,2013-08-21,5183.72
964,2013-08-22,5183.75
965,2013-08-23,5183.7
966,2013-08-24,5183.7
967,2013-08-25,5183.86
968,2013-08-26,5183.72
969,2013-08-27,5183.71
970,2013-08-28,5183.71
971,2013-08-29,5183.71
972,2013-08-30,5183.71
973,2013-08-31,5183.71
