,datetime,SPIRIT_LAKE_AT_TUNNEL_AT_SPIRIT_LAKE__WA.tsv
904,2015-06-24,3443.15
905,2015-06-25,3443.1
906,2015-06-26,3443.05
907,2015-06-27,3443.01
908,2015-06-28,3442.95
909,2015-06-29,3442.91
910,2015-06-30,3442.86
911,2015-07-01,3442.82
912,2015-07-02,3442.77
913,2015-07-03,3442.72
914,2015-07-04,3442.68
915,2015-07-05,3442.64
916,2015-07-06,3442.58
917,2015-07-07,3442.51
918,2015-07-08,3442.48
919,2015-07-09,3442.44
920,2015-07-10,3442.39
921,2015-07-11,3442.34
922,2015-07-12,3442.3
923,2015-07-13,3442.26
924,2015-07-14,3442.2
925,2015-07-15,3442.16
926,2015-07-16,3442.12
927,2015-07-17,3442.08
928,2015-07-18,3442.04
929,2015-07-19,3442.01
930,2015-07-20,3441.96
931,2015-07-21,3441.92
932,2015-07-22,3441.88
933,2015-07-23,3441.84
934,2015-07-24,3441.8
935,2015-07-25,3441.79
936,2015-07-26,3441.78
937,2015-07-27,3441.74
938,2015-07-28,3441.71
939,2015-07-29,3441.69
940,2015-07-30,3441.65
941,2015-07-31,3441.63
942,2015-08-01,3441.6
943,2015-08-02,3441.56
944,2015-08-03,3441.49
945,2015-08-04,3441.45
946,2015-08-05,3441.41
947,2015-08-06,3441.37
948,2015-08-07,3441.35
949,2015-08-08,3441.32
950,2015-08-09,3441.3
951,2015-08-10,3441.26
952,2015-08-11,3441.25
953,2015-08-12,3441.22
954,2015-08-13,3441.2
955,2015-08-14,3441.23
956,2015-08-15,3441.19
957,2015-08-16,3441.17
958,2015-08-17,3441.14
959,2015-08-18,3441.12
960,2015-08-19,3441.08
961,2015-08-20,3441.05
962,2015-08-21,3441.01
963,2015-08-22,3440.99
964,2015-08-23,3440.96
965,2015-08-24,3440.93
966,2015-08-25,3440.92
967,2015-08-26,3440.89
968,2015-08-27,3440.86
969,2015-08-28,3440.86
970,2015-08-29,3440.83
971,2015-08-30,3440.96
972,2015-08-31,3440.94
973,2015-09-01,3440.94
