,datetime,BIG_CLIFF_LAKE_NEAR_NIAGARA__OR.
1216,2016-11-29,1199.32
1217,2016-11-30,1196.82
1218,2016-12-01,1200.39
1219,2016-12-02,1200.58
1220,2016-12-03,1200.51
1221,2016-12-04,1200.78
1222,2016-12-05,1200.24
1223,2016-12-06,1199.85
1224,2016-12-07,1199.64
1225,2016-12-08,1201.24
1226,2016-12-09,1201.9
1227,2016-12-10,1201.18
1228,2016-12-11,1200.46
1229,2016-12-12,1201.62
1230,2016-12-13,1201.66
1231,2016-12-14,1201.24
1232,2016-12-15,1201.71
1233,2016-12-16,1201.01
1234,2016-12-17,1201.81
1235,2016-12-18,1202.72
1236,2016-12-19,1193.51
1237,2016-12-20,1196.9
1238,2016-12-21,1196.55
1239,2016-12-22,1196.32
1240,2016-12-23,1198.24
1241,2016-12-24,1198.86
1242,2016-12-25,1199.31
1243,2016-12-26,1200.96
1244,2016-12-27,1200.14
1245,2016-12-28,1202.0
1246,2016-12-29,1202.74
1247,2016-12-30,1202.33
1248,2016-12-31,1201.4
1249,2017-01-01,1201.9
1250,2017-01-02,1202.23
1251,2017-01-03,1201.28
1252,2017-01-04,1202.83
1253,2017-01-05,1202.15
1254,2017-01-06,1202.63
1255,2017-01-07,1201.71
1256,2017-01-08,1202.38
1257,2017-01-09,1201.95
1258,2017-01-10,1201.38
1259,2017-01-11,1200.28
1260,2017-01-12,1200.32
1261,2017-01-13,1201.6
1262,2017-01-14,1201.55
1263,2017-01-15,1200.54
1264,2017-01-16,1199.61
1265,2017-01-17,1200.93
1266,2017-01-18,1202.66
1267,2017-01-19,1200.98
1268,2017-01-20,1199.43
1269,2017-01-21,1202.11
1270,2017-01-22,1196.25
1271,2017-01-23,1190.02
1272,2017-01-24,1187.95
1273,2017-01-25,1200.96
1274,2017-01-26,1199.79
1275,2017-01-27,1199.04
1276,2017-01-28,1199.52
1277,2017-01-29,1200.96
1278,2017-01-30,1200.68
1279,2017-01-31,1201.19
1280,2017-02-01,1200.84
1281,2017-02-02,1200.31
1282,2017-02-03,1200.0
1283,2017-02-04,1202.68
1284,2017-02-05,1201.49
1285,2017-02-06,1200.5
1286,2017-02-07,1200.1
1287,2017-02-08,1200.98
1288,2017-02-09,1201.3
1289,2017-02-10,1198.66
1290,2017-02-11,1197.26
1291,2017-02-12,1194.21
1292,2017-02-13,1199.78
1293,2017-02-14,1197.41
1294,2017-02-15,1198.0
1295,2017-02-16,1199.82
1296,2017-02-17,1198.14
1297,2017-02-18,1197.57
1298,2017-02-19,1197.52
1299,2017-02-20,1197.12
1300,2017-02-21,1196.63
1301,2017-02-22,1194.87
1302,2017-02-23,1194.62
1303,2017-02-24,1194.83
1304,2017-02-25,1194.08
1305,2017-02-26,1195.16
1306,2017-02-27,1193.62
1307,2017-02-28,1196.02
1308,2017-03-01,1196.66
1309,2017-03-02,1197.13
1310,2017-03-03,1195.16
1311,2017-03-04,1193.59
1312,2017-03-05,1193.12
1313,2017-03-06,1192.35
1314,2017-03-07,1193.87
1315,2017-03-08,1197.62
1316,2017-03-09,1200.64
1317,2017-03-10,1202.29
1318,2017-03-11,1201.97
1319,2017-03-12,1200.86
1320,2017-03-13,1198.07
1321,2017-03-14,1199.66
1322,2017-03-15,1202.44
1323,2017-03-16,1202.81
1324,2017-03-17,1200.54
1325,2017-03-18,1195.83
1326,2017-03-19,1196.21
1327,2017-03-20,1193.09
1328,2017-03-21,1194.34
1329,2017-03-22,1194.15
1330,2017-03-23,1193.12
1331,2017-03-24,1194.73
1332,2017-03-25,1195.6
1333,2017-03-26,1196.93
1334,2017-03-27,1197.36
1335,2017-03-28,1195.02
1336,2017-03-29,1199.49
1337,2017-03-30,1196.45
1338,2017-03-31,1192.05
1339,2017-04-01,1200.41
