,datetime,UPPER_TWIN_LAKE_NR_BRIDGEPORT__CA.tsv
705,2014-12-08,8555.403793103447
706,2014-12-09,8558.86275862069
707,2014-12-10,8562.321724137932
708,2014-12-11,8565.780689655172
709,2014-12-12,8569.239655172414
710,2014-12-13,8572.698620689654
711,2014-12-14,8576.157586206897
712,2014-12-15,8579.616551724137
713,2014-12-16,8583.07551724138
714,2014-12-17,8586.53448275862
715,2014-12-18,8589.993448275862
716,2014-12-19,8593.452413793104
717,2014-12-20,8596.911379310344
718,2014-12-21,8600.370344827586
719,2014-12-22,8603.829310344827
720,2014-12-23,8607.288275862069
721,2014-12-24,8610.747241379311
722,2014-12-25,8614.206206896552
723,2014-12-26,8617.665172413794
724,2014-12-27,8621.124137931034
725,2014-12-28,8624.583103448276
726,2014-12-29,8628.042068965517
727,2014-12-30,8631.501034482759
728,2014-12-31,8634.96
729,2015-01-01,8639.216666666667
730,2015-01-02,8643.473333333333
731,2015-01-03,8647.73
732,2015-01-04,8651.986666666668
733,2015-01-05,8656.243333333334
734,2015-01-06,8660.5
735,2015-01-07,8664.756666666666
736,2015-01-08,8669.013333333332
737,2015-01-09,8673.27
738,2015-01-10,8677.526666666667
739,2015-01-11,8681.783333333333
740,2015-01-12,8686.04
741,2015-01-13,8690.296666666667
742,2015-01-14,8694.553333333333
743,2015-01-15,8698.81
744,2015-01-16,8703.066666666666
745,2015-01-17,8707.323333333334
746,2015-01-18,8711.58
747,2015-01-19,8715.836666666666
748,2015-01-20,8720.093333333332
749,2015-01-21,8724.35
750,2015-01-22,8728.606666666667
751,2015-01-23,8732.863333333333
752,2015-01-24,8737.12
753,2015-01-25,8741.376666666667
754,2015-01-26,8745.633333333333
755,2015-01-27,8749.89
756,2015-01-28,8754.146666666667
757,2015-01-29,8758.403333333334
758,2015-01-30,8762.66
759,2015-01-31,8766.916666666666
760,2015-02-01,8771.173333333334
761,2015-02-02,8775.43
762,2015-02-03,8781.878928571428
763,2015-02-04,8788.327857142856
764,2015-02-05,8794.776785714286
765,2015-02-06,8801.225714285714
766,2015-02-07,8807.674642857144
767,2015-02-08,8814.123571428572
768,2015-02-09,8820.5725
769,2015-02-10,8827.021428571428
770,2015-02-11,8833.470357142856
771,2015-02-12,8839.919285714286
772,2015-02-13,8846.368214285714
773,2015-02-14,8852.817142857144
774,2015-02-15,8859.266071428572
775,2015-02-16,8865.715
776,2015-02-17,8872.163928571428
777,2015-02-18,8878.612857142856
778,2015-02-19,8885.061785714286
779,2015-02-20,8891.510714285714
