,datetime,BULL_RUN_RESERVOIR_NO_1_NEAR_BULL_RUN__OR.
852,2013-05-02,1035.45
853,2013-05-03,1035.47
854,2013-05-04,1036.87
855,2013-05-05,1038.05
856,2013-05-06,1038.4
857,2013-05-07,1038.61
858,2013-05-08,1038.57
859,2013-05-09,1038.68
860,2013-05-10,1039.29
861,2013-05-11,1039.67
862,2013-05-12,1039.83
863,2013-05-13,1040.68
864,2013-05-14,1041.15
865,2013-05-15,1041.29
866,2013-05-16,1042.03
867,2013-05-17,1042.25
868,2013-05-18,1042.4
869,2013-05-19,1042.58
870,2013-05-20,1042.47
871,2013-05-21,1042.34
872,2013-05-22,1044.62
873,2013-05-23,1045.15
874,2013-05-24,1045.22
875,2013-05-25,1044.98
876,2013-05-26,1044.91
877,2013-05-27,1045.0
878,2013-05-28,1044.62
879,2013-05-29,1045.28
880,2013-05-30,1044.96
881,2013-05-31,1044.61
882,2013-06-01,1044.38
883,2013-06-02,1044.66
884,2013-06-03,1044.85
885,2013-06-04,1044.24
886,2013-06-05,1044.12
887,2013-06-06,1044.22
888,2013-06-07,1044.16
889,2013-06-08,1044.29
890,2013-06-09,1043.95
891,2013-06-10,1043.87
892,2013-06-11,1043.98
893,2013-06-12,1043.99
894,2013-06-13,1044.03
895,2013-06-14,1044.22
896,2013-06-15,1044.23
897,2013-06-16,1044.15
898,2013-06-17,1043.84
899,2013-06-18,1043.75
900,2013-06-19,1043.31
901,2013-06-20,1043.36
902,2013-06-21,1043.7
903,2013-06-22,1043.1
904,2013-06-23,1043.16
905,2013-06-24,1043.66
906,2013-06-25,1044.52
907,2013-06-26,1045.4
908,2013-06-27,1045.42
909,2013-06-28,1045.38
910,2013-06-29,1045.3
911,2013-06-30,1045.2
912,2013-07-01,1045.21
913,2013-07-02,1045.14
914,2013-07-03,1045.1
915,2013-07-04,1044.89
916,2013-07-05,1045.08
917,2013-07-06,1045.04
918,2013-07-07,1044.86
919,2013-07-08,1044.67
920,2013-07-09,1044.3
921,2013-07-10,1044.06
922,2013-07-11,1043.69
923,2013-07-12,1043.3
924,2013-07-13,1043.09
925,2013-07-14,1042.73
926,2013-07-15,1042.44
927,2013-07-16,1042.08
928,2013-07-17,1041.49
929,2013-07-18,1040.97
930,2013-07-19,1040.36
931,2013-07-20,1039.87
932,2013-07-21,1039.51
933,2013-07-22,1039.14
934,2013-07-23,1037.92
935,2013-07-24,1037.32
936,2013-07-25,1036.71
937,2013-07-26,1036.17
938,2013-07-27,1035.48
939,2013-07-28,1034.85
940,2013-07-29,1034.21
941,2013-07-30,1033.44
942,2013-07-31,1033.0
943,2013-08-01,1032.4
944,2013-08-02,1031.85
945,2013-08-03,1031.63
946,2013-08-04,1031.16
947,2013-08-05,1030.41
948,2013-08-06,1029.39
949,2013-08-07,1029.01
950,2013-08-08,1028.04
951,2013-08-09,1027.58
952,2013-08-10,1026.72
953,2013-08-11,1026.03
954,2013-08-12,1024.97
955,2013-08-13,1025.38
956,2013-08-14,1024.01
957,2013-08-15,1023.4
958,2013-08-16,1022.46
959,2013-08-17,1021.57
960,2013-08-18,1020.95
961,2013-08-19,1020.35
962,2013-08-20,1020.76
963,2013-08-21,1018.91
964,2013-08-22,1017.85
965,2013-08-23,1017.08
966,2013-08-24,1016.62
967,2013-08-25,1016.15
968,2013-08-26,1015.76
969,2013-08-27,1014.99
970,2013-08-28,1014.05
971,2013-08-29,1013.42
972,2013-08-30,1012.82
