,datetime,HILLS_CREEK_LAKE_NEAR_OAKRIDGE__OR.tsv
927,2016-02-14,1474.19
928,2016-02-15,1476.55
929,2016-02-16,1478.57
930,2016-02-17,1480.38
931,2016-02-18,1482.43
932,2016-02-19,1484.53
933,2016-02-20,1486.27
934,2016-02-21,1487.69
935,2016-02-22,1488.87
936,2016-02-23,1489.83
937,2016-02-24,1490.49
938,2016-02-25,1491.29
939,2016-02-26,1492.12
940,2016-02-27,1493.3
941,2016-02-28,1494.42
942,2016-02-29,1495.41
943,2016-03-01,1496.38
944,2016-03-02,1497.37
945,2016-03-03,1498.37
946,2016-03-04,1499.06
947,2016-03-05,1500.04
948,2016-03-06,1502.54
949,2016-03-07,1504.31
950,2016-03-08,1505.6
951,2016-03-09,1506.8
952,2016-03-10,1508.72
953,2016-03-11,1509.94
954,2016-03-12,1510.64
955,2016-03-13,1512.01
956,2016-03-14,1513.81
957,2016-03-15,1514.72
958,2016-03-16,1515.19
959,2016-03-17,1515.43
960,2016-03-18,1515.28
961,2016-03-19,1515.03
962,2016-03-20,1514.86
963,2016-03-21,1514.88
964,2016-03-22,1515.0
965,2016-03-23,1515.33
966,2016-03-24,1515.87
967,2016-03-25,1516.3
968,2016-03-26,1516.56
969,2016-03-27,1516.8
970,2016-03-28,1517.15
971,2016-03-29,1517.89
972,2016-03-30,1518.67
973,2016-03-31,1519.39
974,2016-04-01,1520.1
975,2016-04-02,1520.85
976,2016-04-03,1521.69
977,2016-04-04,1522.65
978,2016-04-05,1523.15
