,datetime,MOSES_LAKE_AT_MOSES_LAKE__WA.
2048,2016-08-10,1046.71
2049,2016-08-11,1046.72
2050,2016-08-12,1046.73
2051,2016-08-13,1046.74
2052,2016-08-14,1046.75
2053,2016-08-15,1046.76
2054,2016-08-16,1046.77
2055,2016-08-17,1046.77
2056,2016-08-18,1046.78
2057,2016-08-19,1046.75
2058,2016-08-20,1046.74
2059,2016-08-21,1046.74
2060,2016-08-22,1046.72
2061,2016-08-23,1046.72
2062,2016-08-24,1046.73
2063,2016-08-25,1046.73
2064,2016-08-26,1046.74
2065,2016-08-27,1046.76
2066,2016-08-28,1046.79
2067,2016-08-29,1046.82
2068,2016-08-30,1046.82
2069,2016-08-31,1046.8
2070,2016-09-01,1046.78
2071,2016-09-02,1046.76
2072,2016-09-03,1046.74
2073,2016-09-04,1046.74
2074,2016-09-05,1046.72
2075,2016-09-06,1046.71
2076,2016-09-07,1046.72
2077,2016-09-08,1046.72
2078,2016-09-09,1046.71
2079,2016-09-10,1046.7
2080,2016-09-11,1046.69
2081,2016-09-12,1046.67
2082,2016-09-13,1046.69
2083,2016-09-14,1046.72
2084,2016-09-15,1046.76
2085,2016-09-16,1046.79
2086,2016-09-17,1046.8
2087,2016-09-18,1046.82
2088,2016-09-19,1046.82
2089,2016-09-20,1046.83
2090,2016-09-21,1046.85
2091,2016-09-22,1046.84
2092,2016-09-23,1046.81
2093,2016-09-24,1046.8
2094,2016-09-25,1046.78
2095,2016-09-26,1046.76
2096,2016-09-27,1046.74
2097,2016-09-28,1046.72
2098,2016-09-29,1046.71
2099,2016-09-30,1046.72
2100,2016-10-01,1046.71
2101,2016-10-02,1046.74
2102,2016-10-03,1046.75
2103,2016-10-04,1046.77
2104,2016-10-05,1046.77
2105,2016-10-06,1046.77
2106,2016-10-07,1046.77
2107,2016-10-08,1046.78
2108,2016-10-09,1046.77
2109,2016-10-10,1046.79
2110,2016-10-11,1046.74
2111,2016-10-12,1046.73
2112,2016-10-13,1046.73
2113,2016-10-14,1046.72
2114,2016-10-15,1046.74
2115,2016-10-16,1046.75
2116,2016-10-17,1046.78
2117,2016-10-18,1046.78
2118,2016-10-19,1046.77
2119,2016-10-20,1046.78
2120,2016-10-21,1046.78
2121,2016-10-22,1046.78
2122,2016-10-23,1046.78
2123,2016-10-24,1046.78
2124,2016-10-25,1046.81
2125,2016-10-26,1046.76
2126,2016-10-27,1046.73
2127,2016-10-28,1046.72
2128,2016-10-29,1046.72
2129,2016-10-30,1046.75
2130,2016-10-31,1046.71
2131,2016-11-01,1046.7
2132,2016-11-02,1046.71
2133,2016-11-03,1046.72
2134,2016-11-04,1046.72
2135,2016-11-05,1046.73
2136,2016-11-06,1046.75
2137,2016-11-07,1046.52
2138,2016-11-08,1045.72
2139,2016-11-09,1045.06
2140,2016-11-10,1044.52
2141,2016-11-11,1044.08
2142,2016-11-12,1043.71
2143,2016-11-13,1043.41
2144,2016-11-14,1043.17
2145,2016-11-15,1042.98
2146,2016-11-16,1042.79
2147,2016-11-17,1042.63
2148,2016-11-18,1042.49
2149,2016-11-19,1042.37
2150,2016-11-20,1042.26
2151,2016-11-21,1042.17
2152,2016-11-22,1042.09
2153,2016-11-23,1042.02
2154,2016-11-24,1041.93
2155,2016-11-25,1041.89
2156,2016-11-26,1041.84
2157,2016-11-27,1041.79
2158,2016-11-28,1041.76
2159,2016-11-29,1041.72
2160,2016-11-30,1041.69
2161,2016-12-01,1041.67
2162,2016-12-02,1041.64
2163,2016-12-03,1041.63
2164,2016-12-04,1041.63
2165,2016-12-05,1041.63
2166,2016-12-06,1041.64
2167,2016-12-07,1041.66
2168,2016-12-08,1041.78
2169,2016-12-09,1041.66
2170,2016-12-10,1041.67
2171,2016-12-11,1041.7
2172,2016-12-12,1041.73
2173,2016-12-13,1041.75
2174,2016-12-14,1041.78
2175,2016-12-15,1041.82
2176,2016-12-16,1041.85
2177,2016-12-17,1041.89
2178,2016-12-18,1041.92
2179,2016-12-19,1041.96
2180,2016-12-20,1042.0
2181,2016-12-21,1042.04
2182,2016-12-22,1042.07
2183,2016-12-23,1042.11
2184,2016-12-24,1042.14
2185,2016-12-25,1042.18
2186,2016-12-26,1042.21
2187,2016-12-27,1042.26
2188,2016-12-28,1042.29
2189,2016-12-29,1042.32
2190,2016-12-30,1042.35
2191,2016-12-31,1042.39
2192,2017-01-01,1042.43
2193,2017-01-02,1042.47
2194,2017-01-03,1042.49
2195,2017-01-04,1042.52
2196,2017-01-05,1042.55
2197,2017-01-06,1042.57
2198,2017-01-07,1042.6
2199,2017-01-08,1042.66
2200,2017-01-09,1042.71
2201,2017-01-10,1042.74
2202,2017-01-11,1042.76
2203,2017-01-12,1042.79
2204,2017-01-13,1042.81
2205,2017-01-14,1042.84
2206,2017-01-15,1042.87
2207,2017-01-16,1042.9
2208,2017-01-17,1042.94
2209,2017-01-18,1043.0
2210,2017-01-19,1043.04
2211,2017-01-20,1043.07
2212,2017-01-21,1043.1
2213,2017-01-22,1043.14
2214,2017-01-23,1043.18
2215,2017-01-24,1043.21
2216,2017-01-25,1043.24
2217,2017-01-26,1043.26
2218,2017-01-27,1043.29
2219,2017-01-28,1043.32
2220,2017-01-29,1043.35
2221,2017-01-30,1043.38
2222,2017-01-31,1043.42
2223,2017-02-01,1043.45
2224,2017-02-02,1043.48
2225,2017-02-03,1043.52
2226,2017-02-04,1043.56
2227,2017-02-05,1043.6
2228,2017-02-06,1043.64
2229,2017-02-07,1043.67
2230,2017-02-08,1043.71
2231,2017-02-09,1043.76
2232,2017-02-10,1043.79
2233,2017-02-11,1043.81
2234,2017-02-12,1043.83
2235,2017-02-13,1043.86
2236,2017-02-14,1043.89
2237,2017-02-15,1043.94
2238,2017-02-16,1044.02
2239,2017-02-17,1044.16
2240,2017-02-18,1044.33
2241,2017-02-19,1044.41
2242,2017-02-20,1044.48
2243,2017-02-21,1044.55
2244,2017-02-22,1044.62
2245,2017-02-23,1044.66
2246,2017-02-24,1044.7
2247,2017-02-25,1044.74
2248,2017-02-26,1044.77
2249,2017-02-27,1044.81
2250,2017-02-28,1044.84
2251,2017-03-01,1044.87
2252,2017-03-02,1044.9
2253,2017-03-03,1044.94
2254,2017-03-04,1044.99
2255,2017-03-05,1045.03
2256,2017-03-06,1045.06
2257,2017-03-07,1045.1
2258,2017-03-08,1045.14
2259,2017-03-09,1045.18
2260,2017-03-10,1045.23
2261,2017-03-11,1045.26
2262,2017-03-12,1045.27
2263,2017-03-13,1045.28
2264,2017-03-14,1045.3
2265,2017-03-15,1045.33
2266,2017-03-16,1045.35
2267,2017-03-17,1045.35
2268,2017-03-18,1045.37
2269,2017-03-19,1045.37
2270,2017-03-20,1045.37
2271,2017-03-21,1045.37
2272,2017-03-22,1045.37
2273,2017-03-23,1045.34
2274,2017-03-24,1045.33
2275,2017-03-25,1045.33
2276,2017-03-26,1045.26
2277,2017-03-27,1045.22
2278,2017-03-28,1045.19
2279,2017-03-29,1045.16
2280,2017-03-30,1045.13
2281,2017-03-31,1045.1
2282,2017-04-01,1045.18
2283,2017-04-02,1045.26
2284,2017-04-03,1045.31
2285,2017-04-04,1045.36
2286,2017-04-05,1045.43
2287,2017-04-06,1045.51
2288,2017-04-07,1045.59
2289,2017-04-08,1045.67
2290,2017-04-09,1045.74
2291,2017-04-10,1045.83
2292,2017-04-11,1045.91
2293,2017-04-12,1046.01
2294,2017-04-13,1046.11
2295,2017-04-14,1046.19
2296,2017-04-15,1046.26
2297,2017-04-16,1046.35
2298,2017-04-17,1046.42
2299,2017-04-18,1046.5
2300,2017-04-19,1046.58
2301,2017-04-20,1046.66
2302,2017-04-21,1046.72
2303,2017-04-22,1046.78
2304,2017-04-23,1046.81
2305,2017-04-24,1046.81
2306,2017-04-25,1046.81
2307,2017-04-26,1046.75
2308,2017-04-27,1046.69
2309,2017-04-28,1046.7
2310,2017-04-29,1046.71
2311,2017-04-30,1046.73
2312,2017-05-01,1046.72
2313,2017-05-02,1046.73
2314,2017-05-03,1046.74
2315,2017-05-04,1046.75
2316,2017-05-05,1046.76
2317,2017-05-06,1046.77
2318,2017-05-07,1046.77
2319,2017-05-08,1046.77
2320,2017-05-09,1046.77
2321,2017-05-10,1046.78
