,datetime,N_BATTLE_C_RES_NR_MANZANITA_LAKE_CA.tsv
928,2015-07-18,514.0
929,2015-07-19,510.0
930,2015-07-20,507.0
931,2015-07-21,503.0
932,2015-07-22,501.0
933,2015-07-23,497.0
934,2015-07-24,493.0
935,2015-07-25,489.0
936,2015-07-26,486.0
937,2015-07-27,482.0
938,2015-07-28,479.0
939,2015-07-29,476.0
940,2015-07-30,472.0
941,2015-07-31,469.0
942,2015-08-01,467.0
943,2015-08-02,463.0
944,2015-08-03,461.0
945,2015-08-04,457.0
946,2015-08-05,454.0
947,2015-08-06,452.0
948,2015-08-07,448.0
949,2015-08-08,444.0
950,2015-08-09,441.0
951,2015-08-10,438.0
952,2015-08-11,434.0
953,2015-08-12,431.0
954,2015-08-13,428.0
955,2015-08-14,424.0
956,2015-08-15,421.0
957,2015-08-16,418.0
958,2015-08-17,414.0
959,2015-08-18,411.0
960,2015-08-19,408.0
961,2015-08-20,405.0
962,2015-08-21,402.0
963,2015-08-22,399.0
964,2015-08-23,396.0
965,2015-08-24,393.0
966,2015-08-25,390.0
967,2015-08-26,387.0
968,2015-08-27,383.0
969,2015-08-28,381.0
970,2015-08-29,378.0
971,2015-08-30,376.0
972,2015-08-31,372.0
973,2015-09-01,369.0
974,2015-09-02,366.0
975,2015-09-03,364.0
976,2015-09-04,361.0
977,2015-09-05,358.0
978,2015-09-06,355.0
979,2015-09-07,352.0
980,2015-09-08,350.0
981,2015-09-09,347.0
982,2015-09-10,345.0
983,2015-09-11,343.0
984,2015-09-12,340.0
985,2015-09-13,337.0
986,2015-09-14,335.0
987,2015-09-15,335.0
988,2015-09-16,337.0
989,2015-09-17,339.0
990,2015-09-18,337.0
991,2015-09-19,334.0
992,2015-09-20,332.0
993,2015-09-21,327.0
994,2015-09-22,320.0
995,2015-09-23,300.0
996,2015-09-24,263.0
997,2015-09-25,227.0
998,2015-09-26,194.0
999,2015-09-27,165.0
1000,2015-09-28,165.0
1001,2015-09-29,165.0
1002,2015-09-30,164.0
1003,2015-10-01,165.0
1004,2015-10-02,164.0
1005,2015-10-03,164.0
1006,2015-10-04,162.0
1007,2015-10-05,161.0
1008,2015-10-06,160.0
1009,2015-10-07,158.0
1010,2015-10-08,157.0
1011,2015-10-09,155.0
1012,2015-10-10,154.0
1013,2015-10-11,152.0
1014,2015-10-12,151.0
1015,2015-10-13,150.0
1016,2015-10-14,148.0
1017,2015-10-15,147.0
1018,2015-10-16,146.0
1019,2015-10-17,147.0
1020,2015-10-18,147.0
1021,2015-10-19,146.0
1022,2015-10-20,144.0
1023,2015-10-21,143.0
1024,2015-10-22,141.0
1025,2015-10-23,140.0
1026,2015-10-24,138.0
1027,2015-10-25,136.0
1028,2015-10-26,136.0
1029,2015-10-27,135.0
1030,2015-10-28,135.0
1031,2015-10-29,134.0
1032,2015-10-30,133.0
1033,2015-10-31,132.0
1034,2015-11-01,133.0
1035,2015-11-02,135.0
1036,2015-11-03,135.0
1037,2015-11-04,134.0
1038,2015-11-05,134.0
1039,2015-11-06,134.0
1040,2015-11-07,134.0
1041,2015-11-08,138.0
1042,2015-11-09,141.0
1043,2015-11-10,141.0
