,datetime,BLUE_RIVER_LAKE_NEAR_BLUE_RIVER__OR.tsv
760,2015-10-30,1211.36
761,2015-10-31,1213.07
762,2015-11-01,1220.0
763,2015-11-02,1222.37
764,2015-11-03,1222.93
765,2015-11-04,1222.99
766,2015-11-05,1222.78
767,2015-11-06,1222.41
768,2015-11-07,1221.99
769,2015-11-08,1223.12
770,2015-11-09,1222.57
771,2015-11-10,1219.25
772,2015-11-11,1215.58
773,2015-11-12,1211.11
774,2015-11-13,1207.25
775,2015-11-14,1203.11
776,2015-11-15,1198.4
777,2015-11-16,1193.81
778,2015-11-17,1203.87
779,2015-11-18,1215.55
780,2015-11-19,1229.37
781,2015-11-20,1230.9
782,2015-11-21,1226.43
783,2015-11-22,1220.02
784,2015-11-23,1212.89
785,2015-11-24,1205.75
786,2015-11-25,1198.78
787,2015-11-26,1192.71
788,2015-11-27,1188.61
789,2015-11-28,1187.13
790,2015-11-29,1186.59
791,2015-11-30,1185.8
792,2015-12-01,1184.8
793,2015-12-02,1185.62
794,2015-12-03,1183.32
795,2015-12-04,1183.21
796,2015-12-05,1181.74
797,2015-12-06,1181.09
798,2015-12-07,1224.42
799,2015-12-08,1238.65
800,2015-12-09,1247.98
801,2015-12-10,1251.14
802,2015-12-11,1249.05
803,2015-12-12,1251.08
804,2015-12-13,1255.75
805,2015-12-14,1250.27
806,2015-12-15,1241.54
807,2015-12-16,1229.9
808,2015-12-17,1236.87
809,2015-12-18,1253.65
810,2015-12-19,1252.71
811,2015-12-20,1250.99
812,2015-12-21,1254.12
813,2015-12-22,1254.96
814,2015-12-23,1250.56
815,2015-12-24,1243.63
816,2015-12-25,1234.07
817,2015-12-26,1221.59
818,2015-12-27,1206.33
819,2015-12-28,1193.77
820,2015-12-29,1187.59
821,2015-12-30,1184.51
822,2015-12-31,1184.56
823,2016-01-01,1184.59
824,2016-01-02,1184.75
825,2016-01-03,1184.68
826,2016-01-04,1184.55
827,2016-01-05,1184.85
828,2016-01-06,1185.63
829,2016-01-07,1186.33
830,2016-01-08,1186.86
831,2016-01-09,1186.97
832,2016-01-10,1186.48
833,2016-01-11,1186.07
834,2016-01-12,1189.39
835,2016-01-13,1192.54
836,2016-01-14,1191.93
837,2016-01-15,1188.09
838,2016-01-16,1192.25
839,2016-01-17,1198.86
840,2016-01-18,1200.78
841,2016-01-19,1202.27
842,2016-01-20,1204.83
843,2016-01-21,1200.15
844,2016-01-22,1197.04
845,2016-01-23,1197.65
846,2016-01-24,1197.8
847,2016-01-25,1195.95
848,2016-01-26,1192.97
849,2016-01-27,1190.55
850,2016-01-28,1200.85
851,2016-01-29,1212.77
852,2016-01-30,1217.55
853,2016-01-31,1216.68
854,2016-02-01,1214.73
855,2016-02-02,1214.77
856,2016-02-03,1214.28
857,2016-02-04,1217.25
858,2016-02-05,1221.01
859,2016-02-06,1225.55
860,2016-02-07,1229.93
861,2016-02-08,1235.18
862,2016-02-09,1240.64
863,2016-02-10,1245.13
864,2016-02-11,1248.84
865,2016-02-12,1252.44
866,2016-02-13,1256.1
867,2016-02-14,1265.26
868,2016-02-15,1272.86
869,2016-02-16,1276.33
870,2016-02-17,1276.23
871,2016-02-18,1275.93
872,2016-02-19,1276.41
873,2016-02-20,1277.69
874,2016-02-21,1279.01
875,2016-02-22,1280.46
876,2016-02-23,1281.95
877,2016-02-24,1283.35
878,2016-02-25,1284.69
879,2016-02-26,1286.05
880,2016-02-27,1288.36
881,2016-02-28,1290.42
882,2016-02-29,1292.15
883,2016-03-01,1293.88
884,2016-03-02,1294.7
885,2016-03-03,1295.73
886,2016-03-04,1295.96
887,2016-03-05,1294.97
888,2016-03-06,1294.42
889,2016-03-07,1293.5
890,2016-03-08,1292.3
891,2016-03-09,1292.19
892,2016-03-10,1294.55
893,2016-03-11,1296.59
894,2016-03-12,1298.41
895,2016-03-13,1301.4
896,2016-03-14,1305.75
897,2016-03-15,1309.11
898,2016-03-16,1312.37
899,2016-03-17,1314.96
900,2016-03-18,1314.19
901,2016-03-19,1313.13
902,2016-03-20,1312.34
903,2016-03-21,1312.13
904,2016-03-22,1312.63
905,2016-03-23,1313.27
906,2016-03-24,1314.63
907,2016-03-25,1315.61
908,2016-03-26,1316.06
909,2016-03-27,1317.24
910,2016-03-28,1318.3
911,2016-03-29,1319.03
912,2016-03-30,1319.55
913,2016-03-31,1320.3
914,2016-04-01,1321.39
915,2016-04-02,1322.63
916,2016-04-03,1323.82
917,2016-04-04,1325.11
918,2016-04-05,1326.18
919,2016-04-06,1327.12
920,2016-04-07,1328.06
921,2016-04-08,1329.01
922,2016-04-09,1329.92
923,2016-04-10,1330.71
924,2016-04-11,1331.38
925,2016-04-12,1332.05
926,2016-04-13,1332.68
927,2016-04-14,1333.76
928,2016-04-15,1335.13
929,2016-04-16,1336.25
930,2016-04-17,1337.29
931,2016-04-18,1338.23
932,2016-04-19,1339.06
933,2016-04-20,1339.87
934,2016-04-21,1340.46
935,2016-04-22,1340.3
936,2016-04-23,1340.3
937,2016-04-24,1341.0
938,2016-04-25,1341.57
939,2016-04-26,1342.07
940,2016-04-27,1342.51
941,2016-04-28,1342.84
942,2016-04-29,1343.2
943,2016-04-30,1343.56
944,2016-05-01,1343.89
945,2016-05-02,1344.15
946,2016-05-03,1344.42
947,2016-05-04,1344.75
948,2016-05-05,1345.02
949,2016-05-06,1345.07
950,2016-05-07,1344.86
951,2016-05-08,1344.54
952,2016-05-09,1344.18
953,2016-05-10,1343.78
954,2016-05-11,1343.39
955,2016-05-12,1342.96
956,2016-05-13,1342.19
957,2016-05-14,1341.65
958,2016-05-15,1341.54
959,2016-05-16,1341.64
960,2016-05-17,1341.81
961,2016-05-18,1341.87
962,2016-05-19,1341.21
963,2016-05-20,1340.65
964,2016-05-21,1340.08
965,2016-05-22,1339.54
966,2016-05-23,1339.06
967,2016-05-24,1338.54
968,2016-05-25,1337.98
969,2016-05-26,1337.49
970,2016-05-27,1337.12
971,2016-05-28,1336.74
972,2016-05-29,1336.35
973,2016-05-30,1335.94
974,2016-05-31,1335.53
975,2016-06-01,1335.1
976,2016-06-02,1334.66
977,2016-06-03,1333.84
