,datetime,DIABLO_RESERVOIR_NEAR_NEWHALEM__WA.
701,2012-12-02,1201.07
702,2012-12-03,1201.38
703,2012-12-04,1201.26
704,2012-12-05,1201.08
705,2012-12-06,1200.44
706,2012-12-07,1200.2
707,2012-12-08,1200.47
708,2012-12-09,1200.36
709,2012-12-10,1200.31
710,2012-12-11,1200.15
711,2012-12-12,1200.31
712,2012-12-13,1201.32
713,2012-12-14,1201.3
714,2012-12-15,1201.45
715,2012-12-16,1201.95
716,2012-12-17,1200.54
717,2012-12-18,1200.8
718,2012-12-19,1200.62
719,2012-12-20,1200.34
720,2012-12-21,1200.58
721,2012-12-22,1200.24
722,2012-12-23,1201.15
723,2012-12-24,1200.09
724,2012-12-25,1201.27
725,2012-12-26,1201.23
726,2012-12-27,1200.94
727,2012-12-28,1201.01
728,2012-12-29,1201.81
729,2012-12-30,1201.36
730,2012-12-31,1200.8
731,2013-01-01,1200.56
732,2013-01-02,1201.72
733,2013-01-03,1200.91
734,2013-01-04,1201.61
735,2013-01-05,1201.28
736,2013-01-06,1202.07
737,2013-01-07,1200.86
738,2013-01-08,1200.49
739,2013-01-09,1200.64
740,2013-01-10,1201.09
741,2013-01-11,1200.94
742,2013-01-12,1202.03
743,2013-01-13,1201.38
744,2013-01-14,1201.65
745,2013-01-15,1200.56
746,2013-01-16,1201.34
747,2013-01-17,1201.36
748,2013-01-18,1201.39
749,2013-01-19,1201.85
750,2013-01-20,1201.36
751,2013-01-21,1202.27
752,2013-01-22,1202.67
753,2013-01-23,1201.6
754,2013-01-24,1201.6
755,2013-01-25,1200.88
756,2013-01-26,1201.34
757,2013-01-27,1201.43
758,2013-01-28,1201.13
759,2013-01-29,1201.71
760,2013-01-30,1201.8
761,2013-01-31,1201.18
762,2013-02-01,1201.88
763,2013-02-02,1202.91
764,2013-02-03,1201.57
765,2013-02-04,1201.17
766,2013-02-05,1201.42
767,2013-02-06,1200.43
768,2013-02-07,1200.57
769,2013-02-08,1200.61
770,2013-02-09,1201.43
771,2013-02-10,1201.24
772,2013-02-11,1201.05
773,2013-02-12,1200.92
774,2013-02-13,1200.47
775,2013-02-14,1201.19
776,2013-02-15,1200.81
