,datetime,GORGE_RESERVOIR_NEAR_NEWHALEM__WA.
1032,2013-10-29,820.28
1033,2013-10-30,821.02
1034,2013-10-31,820.72
1035,2013-11-01,820.45
1036,2013-11-02,820.86
1037,2013-11-03,820.93
1038,2013-11-04,820.97
1039,2013-11-05,820.26
1040,2013-11-06,820.3
1041,2013-11-07,820.34
1042,2013-11-08,820.35
1043,2013-11-09,820.4
1044,2013-11-10,820.63
1045,2013-11-11,821.09
1046,2013-11-12,821.07
1047,2013-11-13,820.67
1048,2013-11-14,823.79
1049,2013-11-15,839.4
1050,2013-11-16,850.76
1051,2013-11-17,855.67
1052,2013-11-18,861.44
